,number,PinballLoss,Sharpness,Coverage,datetime_start,datetime_complete,duration,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_n_estimators,params_num_leaves,state
0,0,15.070470213411667,396.9411096768607,0.9180076628352489,2022-09-08 23:57:28.708803,2022-09-08 23:57:29.667791,0 days 00:00:00.958988,1.2268401751799026e-07,0.00011854688657803054,0.1545739195099076,10,15,2.7117009124335256,600,319,COMPLETE
1,1,14.44063178892669,379.8168658581393,0.921072796934866,2022-09-08 23:57:29.668792,2022-09-08 23:57:32.452791,0 days 00:00:02.783999,3.3053398858862246e-09,2.4126571101894966e-07,0.023706660228615548,4,20,1.6054272218877452,500,250,COMPLETE
2,2,24.219500786822575,489.3628119413173,0.8973180076628353,2022-09-08 23:57:32.454791,2022-09-08 23:57:33.408060,0 days 00:00:00.953269,26.025500377669925,0.0032159271308482462,0.03901588967677447,8,15,4.056046231743973,300,390,COMPLETE
3,3,19.237500002732354,460.35434823548974,0.9095785440613028,2022-09-08 23:57:33.410060,2022-09-08 23:57:34.315370,0 days 00:00:00.905310,11.052105145550765,8.027054868341479e-05,0.12758709041483685,7,20,3.7191692271210153,400,32,COMPLETE
4,4,17.81988302065586,436.3430916657262,0.9026819923371647,2022-09-08 23:57:34.318371,2022-09-08 23:57:35.030371,0 days 00:00:00.712000,1.5632178730907651e-06,1.2689077805536924e-08,0.18386990097526362,8,45,6.098914272862746,400,246,COMPLETE
5,5,16.622723936351814,414.71323811244747,0.9172413793103449,2022-09-08 23:57:35.031370,2022-09-08 23:57:36.310370,0 days 00:00:01.279000,0.1784824464485128,0.0003591829616694131,0.18138815975563857,5,45,3.8122484219799224,900,439,COMPLETE
6,6,19.18017658222805,454.58821077209296,0.9011494252873563,2022-09-08 23:57:36.311371,2022-09-08 23:57:37.798881,0 days 00:00:01.487510,0.34692638759706,0.000619330468679316,0.09787852528817478,12,15,8.76052705783996,1000,48,COMPLETE
7,7,15.879653638443704,397.434092805005,0.9157088122605364,2022-09-08 23:57:37.800475,2022-09-08 23:57:38.980788,0 days 00:00:01.180313,4.923659974118854e-07,2.495178405401789e-08,0.13805730848050335,5,45,2.579351645283939,700,282,COMPLETE
8,8,18.955532720203983,452.2415400375676,0.9118773946360154,2022-09-08 23:57:38.981788,2022-09-08 23:57:40.299077,0 days 00:00:01.317289,1.2600852160494622e-06,3.942457712458708e-07,0.07773358539863864,12,85,5.935386976854293,700,264,COMPLETE
9,9,16.18185149352462,403.4309052757191,0.9134099616858238,2022-09-08 23:57:40.301075,2022-09-08 23:57:41.586177,0 days 00:00:01.285102,6.182411929053445e-07,0.00016806837412440477,0.11429989573418847,12,45,2.8484710580197903,900,93,COMPLETE
